Description,Avg_Monthly_Quantity,Avg_Monthly_Value,Months_Active,Total_Quantity,Total_Value,Std_Monthly_Quantity,Zero_Sales_Ratio,Last_Sale_Months_Ago,CV_Monthly_Quantity
*Boombox Ipod Classic,1.0,16.98,1,1,16.98,,0.9230769230769231,0,
"BISCUIT TIN, MINT,IVORY, VINTAGE",1.0,6.75,1,1,6.75,,0.9230769230769231,2,
BLUE WHITE PLASTIC RINGS LAMPSHADE,1.0,0.85,1,1,0.85,,0.9230769230769231,5,
CAT W SUNGLASSES BLANK CARD,4.0,0.76,1,4,0.76,,0.9230769230769231,4,
CHAMPAGNE TRAY BLANK CARD,1.0,0.19,1,1,0.19,,0.9230769230769231,7,
HAPPY BIRTHDAY CARD TEDDY/CAKE,5.0,0.95,1,5,0.95,,0.9230769230769231,4,
HAPPY BIRTHDAY GINGER CAT CARD,2.0,0.38,1,2,0.38,,0.9230769230769231,9,
PADS TO MATCH ALL CUSHIONS,2.3333333333333335,0.0023333333333333335,6,14,0.014,1.8618986725025255,0.5384615384615384,1,0.7979565739296537
PINK HEART CHRISTMAS DECORATION,1.0,0.38,1,1,0.38,,0.9230769230769231,12,
PURPLE CRYSTAL DROP EARRINGS,1.0,2.96,1,1,2.96,,0.9230769230769231,9,
RAIN GIRL CHILDS UMBRELLA,1.0,3.25,1,1,3.25,,0.9230769230769231,12,
RED HEART CANDY POP LIGHTS,1.0,4.95,1,1,4.95,,0.9230769230769231,11,
ROAD-RAGE CAR FRESHENER,1.0,2.51,1,1,2.51,,0.9230769230769231,2,
ROSE PINK PENDANT SHELL NECKLACE,1.0,5.09,1,1,5.09,,0.9230769230769231,1,
"RUBY GLASS NECKLACE 42""",1.0,7.5,1,1,7.5,,0.9230769230769231,3,
RUSSIAN FOLKART STACKING TINS,1.0,4.95,1,1,4.95,,0.9230769230769231,11,
S/3 ROSE GARDEN SCENT SQU CANDLE,1.0,1.65,1,1,1.65,,0.9230769230769231,11,
"SILICON CUBE 25W, BLUE",1.0,0.42,1,1,0.42,,0.9230769230769231,0,
SMALL FOLKART CHRISTMAS TREE DEC,1.0,0.42,1,1,0.42,,0.9230769230769231,7,
UBO-LIGHT TRIOBASE BLUE,1.0,0.85,1,1,0.85,,0.9230769230769231,10,
